academic_term,academic_year,faculty,faculty_abbrev,subject,subject_abbrev,title
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Philosophy of Language
Fall/Winter,2023-2024,GL,College universitaire Glendon,MODR,Modes Of Reasoning,Philosophical Paradoxes
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Nutrition, santé et société
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Heredity and Society
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,The Politics of Science
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Psychologie de la santé
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Psychobiology
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Les femmes et la santé
Fall/Winter,2023-2024,GL,College universitaire Glendon,NATS,Natural Science,Urban Environmentalism and Urban Sociology
Fall/Winter,2023-2024,GL,College universitaire Glendon,PHIL,Philosophy,Introduction to Philosophy: Ethics and Religion
Fall/Winter,2023-2024,GL,College universitaire Glendon,PHIL,Philosophy,Mind and the Self
